#Table: J/AJ/137/3100/table4.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Scl-0029|1B  |4017.555|01 00 56.26 -33 41 31.9|19.38| 1.12| 113.5| 1.9| 0.39|0.06| 0.52|0.11|     |     |   |     |
Scl-0030|20B |3286.629|01 01 03.54 -33 38 48.5|19.88| 1.10| 108.9| 3.0| 0.33|0.02| 0.49|0.04|1.000|113.5|1.9| 0.49|0.04
Scl-0030|4B  |3288.571|01 01 03.54 -33 38 48.5|19.88| 1.10| 116.0| 2.6|     |    | 0.97|0.69|     |     |   |     |
Scl-0030|1R  |4017.555|01 01 03.54 -33 38 48.5|19.88| 1.10| 122.4| 7.5| 0.25|0.12| 0.46|0.20|     |     |   |     |
Scl-0031|20B |3286.629|01 01 02.64 -33 39 00.4|19.21| 1.14| 110.1| 0.8| 0.43|0.02| 0.43|0.04|1.000|     |   |     |
Scl-0032|20B |3286.629|01 01 00.44 -33 39 54.0|18.72| 1.19|  91.6| 0.7| 0.35|0.01| 0.39|0.02|0.999| 91.6|0.7| 0.39|0.02
Scl-0032|4R  |3288.571|01 01 00.44 -33 39 54.0|18.72| 1.19|  84.8| 9.9| 0.41|0.04| 0.38|0.11|     |     |   |     |
Scl-0033|20B |3286.629|01 01 05.52 -33 41 58.3|19.57| 1.03| 110.3| 2.0| 0.28|0.02| 0.32|0.04|1.000|109.1|1.3| 0.49|0.03
Scl-0033|4B  |3288.571|01 01 05.52 -33 41 58.3|19.57| 1.03| 108.3| 1.7|     |    | 0.73|0.05|     |     |   |     |
Scl-0034|20B |3286.629|01 01 04.11 -33 42 07.1|19.84| 0.96| 103.5| 2.9| 0.31|0.02| 0.31|0.05|1.000|     |   |     |
