Target	Field	HJD	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Vmag	V-I	HV	e_HV	SigFe	e_SigFe	SigMg	e_SigMg	Mmb	<HV>	e_<HV>	<SigMg>	e_<SigMg>
---	---	d	h	min	s	---	deg	arcmin	arcsec	mag	mag	km/s	km/s	0.1nm	0.1nm	0.1nm	0.1nm	---	km/s	km/s	0.1nm	0.1nm
--------	----	--------	--	--	-----	-	--	--	----	-----	-----	------	----	-----	----	-----	----	-----	-----	---	-----	----
Car-1564	98B 	4123.681	06	38	33.39	-	51	17	55.1	19.97	 1.12	 -37.4	 4.8	     	    	     	    	0.000	     	   	     	
Car-1565	98B 	4123.681	06	38	53.78	-	51	07	25.5	18.55	 1.05	  15.9	 1.0	     	    	     	    	0.000	     	   	     	
Car-1566	98B 	4123.681	06	38	58.20	-	51	01	53.3	19.60	 0.94	  47.9	 3.2	     	    	     	    	0.000	     	   	     	
Car-1567	98B 	4123.681	06	39	04.37	-	51	06	06.4	19.42	 1.07	  54.8	 1.2	     	    	     	    	0.000	     	   	     	
Car-1568	98B 	4123.681	06	39	02.17	-	51	10	37.1	19.64	 0.96	 215.6	 2.2	     	    	     	    	0.822	     	   	     	
Car-1569	98B 	4123.681	06	39	16.29	-	51	07	26.4	19.21	 1.16	 105.5	 2.8	     	    	     	    	0.000	     	   	     	
Car-1570	98B 	4123.681	06	39	16.29	-	51	08	10.8	18.84	 1.12	 176.8	 4.9	     	    	     	    	0.000	     	   	     	
Car-1571	98B 	4123.681	06	39	23.24	-	51	10	55.8	19.18	 1.06	   4.7	 2.0	     	    	     	    	0.000	     	   	     	
Car-1572	98R 	4123.681	06	38	44.40	-	51	19	45.1	19.43	 1.27	 132.6	 7.3	     	    	     	    	0.000	     	   	     	
Car-1573	98R 	4123.681	06	38	14.00	-	51	12	18.6	19.58	 0.96	 115.9	 8.7	     	    	     	    	0.000	     	   	     	
Car-1574	98R 	4123.681	06	38	23.31	-	51	12	53.4	17.64	 1.71	  53.8	 2.0	     	    	     	    	0.000	     	   	     	
Car-1575	98R 	4123.681	06	38	15.29	-	51	16	16.1	19.34	 0.89	  98.9	 4.1	     	    	     	    	0.000	     	   	     	
Car-1576	98R 	4123.681	06	38	19.56	-	51	15	52.3	17.61	 1.21	   1.1	 1.9	     	    	     	    	0.000	     	   	     	
Car-1577	98R 	4123.681	06	37	59.50	-	51	13	45.2	20.54	 1.16	 104.8	 7.3	     	    	     	    	0.000	     	   	     	
Car-1578	98R 	4123.681	06	38	42.91	-	51	10	18.5	18.62	 1.19	  -9.6	 5.4	     	    	     	    	0.000	     	   	     	
Car-1579	98R 	4123.681	06	39	05.31	-	51	18	27.9	19.22	 1.14	  21.4	 4.3	     	    	     	    	0.000	     	   	     	
Car-1580	98R 	4123.681	06	39	05.76	-	51	16	10.9	19.92	 1.23	 134.2	 6.1	     	    	     	    	0.000	     	   	     	
Car-1581	98R 	4123.681	06	38	52.84	-	51	15	23.8	19.78	 0.89	 117.1	 7.7	     	    	     	    	0.000	     	   	     	
Car-1582	98R 	4123.681	06	39	02.78	-	51	11	45.7	19.63	 1.13	 429.0	 5.8	     	    	     	    	0.000	     	   	     	
Car-1583	98R 	4123.681	06	39	36.85	-	51	17	50.5	18.96	 1.11	 117.0	 4.6	     	    	     	    	0.000	     	   	     	
Car-1584	98R 	4123.681	06	39	31.85	-	51	10	55.9	19.05	 1.09	 110.8	 3.3	     	    	     	    	0.000	     	   	     	
Car-1585	105B	4124.663	06	42	11.73	-	50	29	25.4	20.23	 0.90	 -36.5	 4.4	     	    	     	    	0.000	     	   	     	
Car-1586	105B	4124.663	06	41	53.40	-	50	33	08.2	20.59	 1.03	 123.2	 2.8	     	    	     	    	0.000	     	   	     	
Car-1587	105B	4124.663	06	42	11.14	-	50	27	04.1	20.57	 0.66	 138.8	 4.6	     	    	     	    	0.000	     	   	     	
Car-1588	105B	4124.663	06	42	30.44	-	50	39	33.3	20.14	 0.99	 235.1	 4.1	     	    	     	    	0.847	     	   	     	
Car-1589	105B	4124.663	06	42	13.97	-	50	34	46.9	20.50	 0.94	 153.3	 5.3	     	    	     	    	0.000	     	   	     	
Car-1590	105B	4124.663	06	42	34.79	-	50	29	26.3	20.18	 1.01	 119.3	 3.1	     	    	     	    	0.000	     	   	     	
Car-1591	105B	4124.663	06	42	44.39	-	50	35	33.7	20.21	 1.00	 222.1	 5.0	     	    	     	    	0.941	     	   	     	
Car-1592	105B	4124.663	06	42	44.14	-	50	35	14.3	19.49	 1.08	 235.8	 1.8	     	    	     	    	0.767	     	   	     	
Car-1593	105B	4124.663	06	42	42.77	-	50	38	20.4	20.30	 0.83	 225.9	 1.7	     	    	     	    	0.941	     	   	     	
Car-1594	105B	4124.663	06	42	41.65	-	50	31	43.2	19.40	 0.96	 157.9	 1.3	     	    	     	    	0.000	     	   	     	
Car-1595	105B	4124.663	06	42	56.65	-	50	26	09.1	19.71	 1.22	 -11.1	 5.2	     	    	     	    	0.000	     	   	     	
Car-1596	105B	4124.663	06	43	01.98	-	50	22	14.2	19.52	 0.96	 126.2	 3.7	     	    	     	    	0.000	     	   	     	
Car-1597	105B	4124.663	06	42	58.55	-	50	30	28.2	20.46	 0.97	  94.5	 3.6	     	    	     	    	0.000	     	   	     	
Car-1598	105B	4124.663	06	43	15.16	-	50	31	18.1	20.09	 1.08	 263.4	 5.7	     	    	     	    	0.000	     	   	     	
Car-1599	105B	4124.663	06	43	33.99	-	50	26	10.8	19.73	 0.76	  53.6	 3.2	     	    	     	    	0.000	     	   	     	
Car-1600	105B	4124.663	06	43	42.48	-	50	27	52.3	19.66	 1.07	  22.1	 2.6	     	    	     	    	0.000	     	   	     	
Car-1601	105B	4124.663	06	43	30.73	-	50	28	49.2	19.84	 1.27	  49.0	 2.7	     	    	     	    	0.000	     	   	     	
Car-1602	105B	4124.663	06	43	19.54	-	50	32	21.9	20.08	 1.00	 110.6	 1.4	     	    	     	    	0.000	     	   	     	
Car-1603	105B	4124.663	06	43	26.30	-	50	38	45.3	20.41	 1.10	 123.3	 5.2	     	    	     	    	0.000	     	   	     	
Car-1604	105B	4124.663	06	42	19.55	-	50	33	38.2	19.53	 1.24	 157.6	 2.2	     	    	     	    	0.000	     	   	     	
Car-1605	105B	4124.663	06	42	20.51	-	50	29	34.4	20.01	 0.92	  28.3	 4.1	     	    	     	    	0.000	     	   	     	
Car-1606	105B	4124.663	06	42	50.18	-	50	25	33.1	19.49	 0.94	  97.4	 2.3	     	    	     	    	0.000	     	   	     	
Car-1607	105B	4124.663	06	42	40.94	-	50	28	05.9	20.05	 0.95	 187.2	 1.9	     	    	     	    	0.000	     	   	     	
Car-1608	105B	4124.663	06	42	22.37	-	50	38	48.1	19.82	 1.18	 -23.3	 4.6	     	    	     	    	0.000	     	   	     	
Car-1609	105B	4124.663	06	42	45.61	-	50	32	00.8	19.60	 0.85	  26.0	 3.2	     	    	     	    	0.000	     	   	     	
Car-1610	105B	4124.663	06	43	31.34	-	50	26	15.3	19.66	 0.89	  63.3	 4.5	     	    	     	    	0.000	     	   	     	
Car-1611	105B	4124.663	06	43	24.72	-	50	27	59.6	19.53	 1.15	 113.1	 2.2	     	    	     	    	0.000	     	   	     	
Car-1612	105B	4124.663	06	43	18.87	-	50	28	09.7	19.63	 1.27	  29.0	 3.0	     	    	     	    	0.000	     	   	     	
Car-1613	105B	4124.663	06	42	51.35	-	50	36	22.7	19.86	 0.73	  57.5	 0.9	     	    	     	    	0.000	     	   	     	
Car-1614	105B	4124.663	06	42	54.18	-	50	35	52.5	19.91	 1.16	  37.0	 2.5	     	    	     	    	0.000	     	   	     	
Car-1615	105B	4124.663	06	43	00.92	-	50	34	29.2	20.08	 0.95	 209.8	 1.9	     	    	     	    	0.515	     	   	     	
Car-1616	105B	4124.663	06	43	46.42	-	50	27	21.3	19.42	 1.18	  65.6	 3.1	     	    	     	    	0.000	     	   	     	
Car-1617	105B	4124.663	06	43	22.52	-	50	30	56.7	19.69	 1.12	  57.9	 2.8	     	    	     	    	0.000	     	   	     	
Car-1618	105B	4124.663	06	43	05.03	-	50	26	05.1	19.47	 0.85	  20.1	 3.1	     	    	     	    	0.000	     	   	     	
Car-1619	105B	4124.663	06	42	57.73	-	50	28	48.1	19.84	 1.23	  32.9	 2.5	     	    	     	    	0.000	     	   	     	
Car-1620	105B	4124.663	06	43	03.30	-	50	21	25.9	19.89	 1.02	 120.5	 3.5	     	    	     	    	0.000	     	   	     	
Car-1621	105R	4124.663	06	43	49.55	-	50	33	54.8	18.71	 1.30	  78.4	 4.7	     	    	     	    	0.000	     	   	     	
Car-1622	105R	4124.663	06	42	23.57	-	50	31	34.3	19.18	 1.12	  29.4	 3.5	     	    	     	    	0.000	     	   	     	
Car-1623	105R	4124.663	06	42	28.58	-	50	36	20.8	19.32	 1.13	  92.1	11.2	     	    	     	    	0.000	     	   	     	
Car-1624	105R	4124.663	06	42	33.15	-	50	32	27.9	19.23	 1.06	 106.4	 2.0	     	    	     	    	0.000	     	   	     	
Car-1625	105R	4124.663	06	42	59.80	-	50	36	52.1	18.63	 0.99	  55.2	 2.3	     	    	     	    	0.000	     	   	     	
Car-1626	105R	4124.663	06	42	54.12	-	50	34	07.4	17.99	 1.49	  26.9	 1.1	     	    	     	    	0.000	     	   	     	
Car-1627	105R	4124.663	06	43	51.85	-	50	27	49.4	17.56	 1.30	  21.5	 2.8	     	    	     	    	0.000	     	   	     	
Car-1628	105R	4124.663	06	43	45.03	-	50	28	27.8	18.04	 1.43	  17.6	 3.1	     	    	     	    	0.000	     	   	     	
Car-1629	105R	4124.663	06	43	42.66	-	50	30	39.3	18.70	 1.11	 225.5	 5.7	     	    	     	    	0.862	     	   	     	
Car-1630	105R	4124.663	06	43	34.83	-	50	35	32.9	19.37	 1.30	  20.9	 5.7	     	    	     	    	0.000	     	   	     	
Car-1631	105R	4124.663	06	43	00.20	-	50	28	22.0	18.39	 1.33	  48.9	10.4	     	    	     	    	0.000	     	   	     	
Car-1632	105R	4124.663	06	43	04.23	-	50	30	11.7	18.23	 1.25	  39.5	 2.2	     	    	     	    	0.000	     	   	     	
Car-1633	113B	4125.547	06	37	52.99	-	50	44	10.3	19.38	 0.75	 113.5	 3.2	     	    	     	    	0.000	     	   	     	
Car-1634	113B	4125.547	06	37	44.79	-	50	52	21.8	19.42	 1.03	 149.6	 1.4	     	    	     	    	0.000	     	   	     	
Car-1635	113B	4125.547	06	37	51.63	-	50	52	27.6	19.52	 0.98	  71.6	 2.8	     	    	     	    	0.000	     	   	     	
Car-1636	113B	4125.547	06	38	04.19	-	50	51	19.5	20.49	 1.01	 222.5	 5.5	     	    	     	    	0.941	     	   	     	
Car-1637	113B	4125.547	06	37	31.65	-	50	55	39.1	20.59	 1.11	 160.3	 4.9	     	    	     	    	0.000	     	   	     	
Car-1638	113B	4125.547	06	37	28.80	-	50	53	34.3	20.01	 1.19	 106.2	 5.1	     	    	     	    	0.000	     	   	     	
Car-1639	113B	4125.547	06	38	38.61	-	50	47	49.4	19.53	 1.11	  89.0	 2.8	     	    	     	    	0.000	     	   	     	
Car-1640	113B	4125.547	06	38	36.84	-	50	49	12.9	19.57	 1.11	  60.7	 1.9	     	    	     	    	0.000	     	   	     	
Car-1641	113B	4125.547	06	37	50.51	-	50	59	41.6	19.62	 1.30	  54.9	 3.8	     	    	     	    	0.000	     	   	     	
Car-1642	113B	4125.547	06	37	55.17	-	50	58	27.2	20.47	 1.23	  67.2	 3.3	     	    	     	    	0.000	     	   	     	
Car-1643	113B	4125.547	06	38	12.45	-	50	57	56.1	20.37	 1.09	 278.7	 3.1	     	    	     	    	0.000	     	   	     	
Car-1644	113B	4125.547	06	38	00.22	-	50	57	37.4	19.36	 1.19	  78.3	 1.6	     	    	     	    	0.000	     	   	     	
Car-1645	113B	4125.547	06	37	57.44	-	50	57	39.4	20.31	 1.17	  67.6	 3.6	     	    	     	    	0.000	     	   	     	
Car-1646	113B	4125.547	06	38	15.67	-	50	52	59.8	20.68	 0.93	 218.6	 3.7	     	    	     	    	0.930	     	   	     	
Car-1647	113B	4125.547	06	37	43.73	-	50	58	52.1	19.78	 0.83	 293.6	 3.4	     	    	     	    	0.000	     	   	     	
Car-1648	113B	4125.547	06	37	48.17	-	50	58	43.8	19.37	 1.32	  28.1	 1.9	     	    	     	    	0.000	     	   	     	
Car-1649	113B	4125.547	06	37	44.88	-	50	58	39.6	19.64	 1.37	  58.4	 5.5	     	    	     	    	0.000	     	   	     	
Car-1650	113B	4125.547	06	37	47.47	-	50	55	34.5	19.78	 1.23	  48.3	 3.5	     	    	     	    	0.000	     	   	     	
Car-1651	113B	4125.547	06	37	55.45	-	50	54	18.8	19.93	 0.82	 149.9	 1.7	     	    	     	    	0.000	     	   	     	
Car-1652	113B	4125.547	06	38	39.24	-	50	45	09.6	19.89	 0.98	 286.3	 5.5	     	    	     	    	0.000	     	   	     	
Car-1653	113B	4125.547	06	38	40.64	-	50	46	40.2	19.23	 0.93	  69.3	 2.8	     	    	     	    	0.000	     	   	     	
Car-1654	113B	4125.547	06	38	44.42	-	50	48	49.7	19.92	 0.90	 127.9	 1.8	     	    	     	    	0.000	     	   	     	
Car-1655	113B	4125.547	06	38	43.84	-	50	50	08.8	20.40	 0.81	 104.3	 4.2	     	    	     	    	0.000	     	   	     	
Car-1656	113B	4125.547	06	38	48.29	-	50	50	56.3	19.73	 0.82	 264.5	 3.0	     	    	     	    	0.000	     	   	     	
Car-1657	113B	4125.547	06	38	55.53	-	50	44	23.6	19.50	 0.87	   9.4	 2.3	     	    	     	    	0.000	     	   	     	
Car-1658	113B	4125.547	06	38	49.20	-	50	45	26.0	20.65	 0.79	 196.2	 3.7	     	    	     	    	0.017	     	   	     	
Car-1659	113B	4125.547	06	39	00.36	-	50	49	36.6	19.81	 1.13	 110.3	 2.1	     	    	     	    	0.000	     	   	     	
Car-1660	113B	4125.547	06	38	49.47	-	51	00	18.6	20.14	 0.79	  95.7	 3.4	     	    	     	    	0.000	     	   	     	
Car-1661	113B	4125.547	06	38	47.09	-	51	00	09.9	20.27	 0.86	 225.3	 2.0	     	    	     	    	0.942	     	   	     	
Car-1662	113B	4125.547	06	38	39.18	-	50	58	33.3	20.43	 1.07	  89.8	 2.6	     	    	     	    	0.000	     	   	     	
Car-1663	113B	4125.547	06	38	40.32	-	50	55	45.1	20.38	 1.08	  88.4	 2.0	     	    	     	    	0.000	     	   	     	
Car-1664	113B	4125.547	06	38	18.01	-	50	59	41.4	20.94	 0.86	 114.5	 2.7	     	    	     	    	0.000	     	   	     	
Car-1665	113B	4125.547	06	38	27.75	-	50	58	30.6	20.48	 1.14	  86.7	 3.2	     	    	     	    	0.000	     	   	     	
Car-1666	113B	4125.547	06	38	14.30	-	50	56	58.0	19.60	 0.95	  90.1	 1.2	     	    	     	    	0.000	     	   	     	
Car-1667	113B	4125.547	06	38	15.52	-	50	56	42.6	19.97	 0.70	 110.5	 1.0	     	    	     	    	0.000	     	   	     	
Car-1668	113B	4125.547	06	38	27.43	-	50	55	19.8	19.81	 0.92	  51.4	 0.9	     	    	     	    	0.000	     	   	     	
Car-1669	113B	4125.547	06	39	06.66	-	50	44	07.8	19.67	 1.12	  71.7	 3.9	     	    	     	    	0.000	     	   	     	
Car-1670	113B	4125.547	06	39	13.68	-	50	46	25.3	20.62	 0.76	  61.8	 5.0	     	    	     	    	0.000	     	   	     	
Car-1671	113B	4125.547	06	39	16.84	-	50	47	24.4	20.28	 0.88	  84.1	 1.9	     	    	     	    	0.000	     	   	     	
Car-1672	113B	4125.547	06	39	13.05	-	50	47	41.8	19.54	 1.18	  47.8	 1.6	     	    	     	    	0.000	     	   	     	
Car-1673	113B	4125.547	06	39	03.47	-	50	50	26.1	19.88	 1.05	  38.9	 4.3	     	    	     	    	0.000	     	   	     	
Car-1674	113B	4125.547	06	39	27.88	-	50	51	35.2	20.48	 0.95	  68.2	 4.8	     	    	     	    	0.000	     	   	     	
Car-1675	113B	4125.547	06	39	26.91	-	50	52	17.4	19.68	 1.02	 220.4	 3.0	     	    	     	    	0.984	     	   	     	
Car-1676	113B	4125.547	06	39	22.71	-	50	53	24.8	19.59	 0.86	 305.4	 2.4	     	    	     	    	0.000	     	   	     	
Car-1677	113B	4125.547	06	39	20.71	-	50	56	18.6	19.42	 1.26	 110.5	 2.2	     	    	     	    	0.000	     	   	     	
Car-1678	113B	4125.547	06	39	14.03	-	50	54	51.1	19.96	 0.99	  45.2	 2.6	     	    	     	    	0.000	     	   	     	
Car-1679	113B	4125.547	06	39	11.62	-	50	54	32.1	20.39	 0.84	 241.9	 2.8	     	    	     	    	0.647	     	   	     	
Car-1680	113B	4125.547	06	39	06.44	-	50	54	36.8	19.61	 1.08	  73.0	 0.9	     	    	     	    	0.000	     	   	     	
Car-1681	113B	4125.547	06	39	12.56	-	50	54	11.1	19.61	 1.11	 214.2	 2.3	     	    	     	    	0.947	     	   	     	
Car-1682	113B	4125.547	06	39	02.22	-	50	53	27.3	20.39	 0.94	  88.8	 3.6	     	    	     	    	0.000	     	   	     	
Car-1683	113B	4125.547	06	39	28.69	-	50	53	40.6	19.74	 0.78	 179.5	 4.5	     	    	     	    	0.000	     	   	     	
Car-1684	113B	4125.547	06	38	57.78	-	50	58	50.2	20.69	 1.02	  60.8	 3.9	     	    	     	    	0.000	     	   	     	
Car-1685	113B	4125.547	06	39	02.16	-	50	57	13.6	19.87	 0.77	 177.3	 1.5	     	    	     	    	0.000	     	   	     	
Car-1686	113B	4125.547	06	38	51.61	-	50	52	32.6	19.87	 0.77	 231.1	 2.9	     	    	     	    	0.904	     	   	     	
Car-1687	113B	4125.547	06	38	56.44	-	50	52	30.4	20.60	 0.59	 132.5	 4.1	     	    	     	    	0.000	     	   	     	
Car-1688	113R	4125.547	06	37	38.37	-	50	48	25.5	18.95	 1.08	 173.4	 6.0	     	    	     	    	0.000	     	   	     	
Car-1689	113R	4125.547	06	37	49.56	-	50	44	32.8	17.99	 1.44	  43.4	12.0	     	    	     	    	0.000	     	   	     	
Car-1690	113R	4125.547	06	37	53.86	-	50	46	00.7	17.87	 1.14	 201.4	 3.2	     	    	     	    	0.068	     	   	     	
Car-1691	113R	4125.547	06	38	02.50	-	50	49	07.1	17.44	 1.27	  21.9	 1.1	     	    	     	    	0.000	     	   	     	
Car-1692	113R	4125.547	06	37	47.36	-	50	59	31.1	18.88	 1.10	  63.3	 3.0	     	    	     	    	0.000	     	   	     	
Car-1693	113R	4125.547	06	37	52.68	-	50	57	17.9	19.18	 1.36	  12.1	 7.0	     	    	     	    	0.000	     	   	     	
Car-1694	113R	4125.547	06	37	46.60	-	50	57	07.4	18.68	 1.18	  74.6	 3.9	     	    	     	    	0.000	     	   	     	
Car-1695	113R	4125.547	06	37	28.80	-	50	55	34.6	18.69	 1.25	  26.4	 2.0	     	    	     	    	0.000	     	   	     	
Car-1696	113R	4125.547	06	37	36.46	-	50	53	06.1	18.79	 1.09	 111.2	 1.5	     	    	     	    	0.000	     	   	     	
Car-1697	113R	4125.547	06	38	17.63	-	50	46	15.2	18.25	 1.32	  50.1	 4.9	     	    	     	    	0.000	     	   	     	
Car-1698	113R	4125.547	06	38	17.77	-	50	49	31.6	18.43	 1.12	  48.2	 1.3	     	    	     	    	0.000	     	   	     	
Car-1699	113R	4125.547	06	38	07.66	-	50	49	49.6	19.24	 1.10	 106.1	 5.0	     	    	     	    	0.000	     	   	     	
Car-1700	113R	4125.547	06	38	08.65	-	50	51	12.6	18.63	 0.88	  75.4	 3.5	     	    	     	    	0.000	     	   	     	
Car-1701	113R	4125.547	06	38	06.75	-	50	51	15.1	18.30	 1.35	  74.6	 2.5	     	    	     	    	0.000	     	   	     	
Car-1702	113R	4125.547	06	38	41.92	-	50	59	16.5	19.07	 0.99	 143.9	 1.7	     	    	     	    	0.000	     	   	     	
Car-1703	113R	4125.547	06	38	17.37	-	50	57	17.7	17.81	 1.15	  27.7	 1.3	     	    	     	    	0.000	     	   	     	
Car-1704	113R	4125.547	06	38	24.02	-	50	56	29.4	18.46	 1.27	 231.2	 3.1	     	    	     	    	0.905	     	   	     	
Car-1705	113R	4125.547	06	38	36.12	-	50	56	33.7	18.81	 1.17	  97.7	 3.9	     	    	     	    	0.000	     	   	     	
Car-1706	113R	4125.547	06	38	23.77	-	50	55	35.9	18.08	 1.56	  18.1	 1.4	     	    	     	    	0.000	     	   	     	
Car-1707	113R	4125.547	06	38	09.56	-	50	58	30.7	17.80	 1.49	 144.9	 4.3	     	    	     	    	0.000	     	   	     	
Car-1708	113R	4125.547	06	38	18.45	-	50	55	31.8	18.50	 1.23	 209.2	 4.5	     	    	     	    	0.726	     	   	     	
Car-1709	113R	4125.547	06	38	05.46	-	50	54	19.4	18.85	 1.17	  22.3	 2.3	     	    	     	    	0.000	     	   	     	
Car-1710	113R	4125.547	06	37	56.00	-	50	52	50.2	18.88	 1.05	  74.8	 1.5	     	    	     	    	0.000	     	   	     	
Car-1711	113R	4125.547	06	38	47.03	-	50	43	25.0	18.83	 1.08	  19.3	 4.1	     	    	     	    	0.000	     	   	     	
Car-1712	113R	4125.547	06	38	40.35	-	50	48	43.7	18.27	 1.21	  72.4	 4.3	     	    	     	    	0.000	     	   	     	
Car-1713	113R	4125.547	06	38	34.70	-	50	49	37.6	18.46	 1.24	  53.9	 8.1	     	    	     	    	0.000	     	   	     	
Car-1714	113R	4125.547	06	38	35.73	-	50	51	02.9	18.34	 1.07	  57.4	 5.7	     	    	     	    	0.000	     	   	     	
Car-1715	113R	4125.547	06	38	54.30	-	50	48	37.4	18.89	 1.21	  60.5	 4.4	     	    	     	    	0.000	     	   	     	
Car-1716	113R	4125.547	06	39	05.81	-	50	50	10.3	18.54	 1.07	 192.2	 2.3	     	    	     	    	0.001	     	   	     	
Car-1717	113R	4125.547	06	38	46.88	-	50	50	31.3	18.56	 1.29	 231.6	 2.8	     	    	     	    	0.898	     	   	     	
Car-1718	113R	4125.547	06	38	47.11	-	50	58	21.3	17.89	 1.17	  17.1	 1.1	     	    	     	    	0.000	     	   	     	
Car-1719	113R	4125.547	06	38	51.87	-	50	56	55.0	17.41	 1.44	   9.8	 1.5	     	    	     	    	0.000	     	   	     	
Car-1720	113R	4125.547	06	38	57.03	-	50	55	23.3	18.80	 1.04	 143.0	 2.1	     	    	     	    	0.000	     	   	     	
Car-1721	113R	4125.547	06	38	55.84	-	50	54	52.3	18.05	 1.54	  28.5	 1.4	     	    	     	    	0.000	     	   	     	
Car-1722	113R	4125.547	06	38	50.41	-	50	54	28.1	18.73	 1.45	  23.1	 5.5	     	    	     	    	0.000	     	   	     	
Car-1723	113R	4125.547	06	38	50.54	-	50	53	11.0	18.02	 1.14	 117.8	 1.8	     	    	     	    	0.000	     	   	     	
Car-1724	113R	4125.547	06	39	13.36	-	50	46	58.9	17.80	 1.43	 -19.6	 3.0	     	    	     	    	0.000	     	   	     	
Car-1725	113R	4125.547	06	39	23.72	-	50	48	03.2	18.86	 1.05	  23.8	 5.3	     	    	     	    	0.000	     	   	     	
Car-1726	113R	4125.547	06	39	29.45	-	50	51	57.4	18.85	 0.94	  63.7	 2.7	     	    	     	    	0.000	     	   	     	
Car-1727	113R	4125.547	06	39	23.79	-	50	52	32.9	18.91	 1.18	 220.7	 4.8	     	    	     	    	0.984	     	   	     	
Car-1728	113R	4125.547	06	39	14.20	-	50	52	54.5	18.41	 1.25	  89.7	 6.9	     	    	     	    	0.000	     	   	     	
Car-1729	113R	4125.547	06	39	24.66	-	50	53	43.8	18.84	 0.88	 197.3	 1.4	     	    	     	    	0.025	     	   	     	
Car-1730	113R	4125.547	06	39	29.18	-	50	53	58.8	17.77	 1.33	  81.4	 1.9	     	    	     	    	0.000	     	   	     	
Car-1731	113R	4125.547	06	39	12.01	-	50	58	42.9	19.17	 1.14	  74.2	 2.8	     	    	     	    	0.000	     	   	     	
Car-1732	113R	4125.547	06	38	59.47	-	50	55	26.9	18.59	 1.26	  83.6	 1.3	     	    	     	    	0.000	     	   	     	
Car-1733	113R	4125.547	06	39	01.44	-	50	53	46.8	18.53	 1.06	  35.7	 1.1	     	    	     	    	0.000	     	   	     	
Car-1734	113R	4125.547	06	39	05.31	-	50	53	31.6	17.78	 1.45	  44.7	 1.9	     	    	     	    	0.000	     	   	     	
Car-1735	113R	4125.547	06	39	08.70	-	50	53	31.0	18.50	 1.17	  16.6	 3.0	     	    	     	    	0.000	     	   	     	
Car-1736	113R	4125.547	06	39	07.73	-	50	52	40.5	19.20	 1.31	  15.9	 4.8	     	    	     	    	0.000	     	   	     	
Car-1737	227B	4125.692	06	44	13.51	-	51	22	20.5	18.60	 1.27	  63.3	 1.7	     	    	     	    	0.000	     	   	     	
Car-1738	227B	4125.692	06	44	04.17	-	51	24	41.1	19.98	 1.02	  66.6	 4.4	     	    	     	    	0.000	     	   	     	
Car-1739	227B	4125.692	06	44	05.66	-	51	24	48.9	19.43	 1.05	 272.1	 4.3	     	    	     	    	0.000	     	   	     	
Car-1740	227B	4125.692	06	44	09.36	-	51	25	47.0	19.67	 0.95	  71.5	 1.0	     	    	     	    	0.000	     	   	     	
Car-1741	227B	4125.692	06	44	11.17	-	51	26	12.3	19.41	 1.15	  78.3	 1.6	     	    	     	    	0.000	     	   	     	
Car-1742	227B	4125.692	06	44	12.97	-	51	27	04.9	19.01	 1.11	  43.1	 0.9	     	    	     	    	0.000	     	   	     	
Car-1743	227B	4125.692	06	44	15.34	-	51	27	55.3	19.58	 0.97	  57.7	 1.3	     	    	     	    	0.000	     	   	     	
Car-1744	227B	4125.692	06	44	27.49	-	51	20	40.0	18.08	 1.42	  12.3	 4.8	     	    	     	    	0.000	     	   	     	
Car-1745	227B	4125.692	06	44	30.65	-	51	21	09.0	18.82	 1.15	  40.2	 2.3	     	    	     	    	0.000	     	   	     	
Car-1746	227B	4125.692	06	44	20.58	-	51	24	51.0	20.17	 1.13	 121.7	 2.4	     	    	     	    	0.000	     	   	     	
Car-1747	227B	4125.692	06	44	18.26	-	51	25	00.5	18.55	 1.25	  68.0	 1.7	     	    	     	    	0.000	     	   	     	
Car-1748	227B	4125.692	06	44	35.82	-	51	35	31.6	19.27	 1.00	  78.2	 1.1	     	    	     	    	0.000	     	   	     	
Car-1749	227B	4125.692	06	44	32.69	-	51	33	41.7	19.17	 0.90	 182.4	 0.6	     	    	     	    	0.000	     	   	     	
Car-1750	227B	4125.692	06	44	21.65	-	51	31	40.0	19.22	 1.06	 334.5	 5.8	     	    	     	    	0.000	     	   	     	
Car-1751	227B	4125.692	06	44	36.54	-	51	31	11.4	19.17	 0.94	  12.2	 1.5	     	    	     	    	0.000	     	   	     	
Car-1752	227B	4125.692	06	44	44.35	-	51	30	30.1	19.70	 1.17	  67.8	 1.5	     	    	     	    	0.000	     	   	     	
Car-1753	227B	4125.692	06	44	12.74	-	51	34	31.9	19.78	 1.04	 108.1	 1.8	     	    	     	    	0.000	     	   	     	
Car-1754	227B	4125.692	06	44	08.40	-	51	32	59.4	19.48	 0.96	 188.4	 1.5	     	    	     	    	0.000	     	   	     	
Car-1755	227B	4125.692	06	44	19.49	-	51	31	03.2	18.50	 1.30	  43.1	 2.0	     	    	     	    	0.000	     	   	     	
Car-1756	227B	4125.692	06	44	05.36	-	51	30	55.4	19.49	 0.86	  84.1	 0.7	     	    	     	    	0.000	     	   	     	
Car-1757	227B	4125.692	06	44	10.67	-	51	30	00.1	19.36	 0.88	  74.4	 0.7	     	    	     	    	0.000	     	   	     	
Car-1758	227B	4125.692	06	44	03.12	-	51	29	39.9	18.92	 1.20	  57.2	 0.7	     	    	     	    	0.000	     	   	     	
Car-1759	227B	4125.692	06	44	05.12	-	51	29	14.4	19.58	 1.13	  29.9	 1.4	     	    	     	    	0.000	     	   	     	
