Target	Field	HJD	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Vmag	V-I	HV	e_HV	SigFe	e_SigFe	SigMg	e_SigMg	Mmb	<HV>	e_<HV>	<SigMg>	e_<SigMg>
---	---	d	h	min	s	---	deg	arcmin	arcsec	mag	mag	km/s	km/s	0.1nm	0.1nm	0.1nm	0.1nm	---	km/s	km/s	0.1nm	0.1nm
--------	----	--------	--	--	-----	-	--	--	----	-----	-----	------	----	-----	----	-----	----	-----	-----	---	-----	----
Car-0050	13R 	3410.547	06	43	00.45	-	50	58	36.8	19.06	 1.20	 131.1	 9.6	 0.19	0.06	 0.71	0.10	     	     	   	     	
Car-0051	18B 	3087.533	06	43	13.49	-	50	49	13.3	18.70	 1.19	 228.4	 2.1	 0.43	0.04	 0.49	0.09	0.998	     	   	     	
Car-0052	18B 	3087.533	06	43	10.59	-	50	49	46.9	20.58	 1.14	 228.4	 5.6	 0.46	0.11	 0.13	0.30	1.000	229.2	3.4	 0.28	0.12
Car-0052	25B 	3411.554	06	43	10.59	-	50	49	46.9	20.58	 1.14	 229.7	 4.3	 0.44	0.05	 0.31	0.13	     	     	   	     	
Car-0053	18B 	3087.533	06	43	08.58	-	50	50	26.2	18.31	 1.50	  37.9	 1.9	 0.39	0.03	 0.90	0.04	0.000	     	   	     	
Car-0054	18B 	3087.533	06	43	15.81	-	50	53	33.1	20.13	 1.10	  17.7	 2.6	 0.17	0.09	 0.80	0.10	0.000	 18.9	2.3	 0.80	0.08
Car-0054	25R 	3411.554	06	43	15.81	-	50	53	33.1	20.13	 1.10	  23.6	 5.0	 0.26	0.12	 0.80	0.14	     	     	   	     	
Car-0055	18B 	3087.533	06	43	11.73	-	50	55	04.3	18.51	 1.32	 223.3	 0.8	 0.41	0.02	 0.46	0.05	1.000	223.6	0.8	 0.44	0.04
Car-0055	25R 	3411.554	06	43	11.73	-	50	55	04.3	18.51	 1.32	 225.3	 1.9	 0.37	0.03	 0.38	0.09	     	     	   	     	
Car-0056	18B 	3087.533	06	43	26.52	-	50	49	48.2	18.86	 1.33	 207.0	 2.2	 0.26	0.05	 0.28	0.10	0.995	205.6	1.4	 0.36	0.07
Car-0056	25R 	3411.554	06	43	26.52	-	50	49	48.2	18.86	 1.33	 204.4	 1.9	 0.37	0.04	 0.44	0.10	     	     	   	     	
Car-0057	18B 	3087.533	06	43	22.58	-	50	50	14.1	18.52	 1.59	  40.5	 2.4	 0.36	0.03	 0.73	0.06	0.000	     	   	     	
Car-0058	18B 	3087.533	06	43	21.87	-	50	50	39.5	19.99	 0.97	 122.0	 3.0	 0.44	0.08	 0.89	0.12	0.000	122.2	2.9	 0.79	0.10
Car-0058	25R 	3411.554	06	43	21.87	-	50	50	39.5	19.99	 0.97	 123.6	10.2	 0.41	0.10	 0.59	0.17	     	     	   	     	
Car-0059	18B 	3087.533	06	43	19.31	-	50	51	31.2	19.68	 1.16	  78.9	 3.9	 0.22	0.09	 0.78	0.11	0.000	 76.8	3.0	 0.78	0.08
Car-0059	25R 	3411.554	06	43	19.31	-	50	51	31.2	19.68	 1.16	  73.8	 4.5	 0.33	0.08	 0.79	0.12	     	     	   	     	
Car-0060	18B 	3087.533	06	43	20.90	-	50	51	49.6	19.84	 1.00	 220.1	 1.5	 0.35	0.05	 0.29	0.11	1.000	     	   	     	
Car-0061	18B 	3087.533	06	43	34.87	-	50	54	42.4	19.41	 1.18	 157.8	 6.0	 0.26	0.10	 0.74	0.14	0.000	     	   	     	
Car-0062	18B 	3087.533	06	43	37.16	-	50	55	25.4	19.37	 1.07	 134.8	 1.4	 0.39	0.05	 0.64	0.10	0.000	134.8	1.3	 0.74	0.07
Car-0062	25R 	3411.554	06	43	37.16	-	50	55	25.4	19.37	 1.07	 134.8	 3.8	 0.27	0.07	 0.85	0.11	     	     	   	     	
Car-0063	18B 	3087.533	06	43	14.26	-	50	57	02.5	18.52	 1.36	  71.8	 1.4	 0.44	0.03	 0.86	0.06	0.000	     	   	     	
Car-0064	18B 	3087.533	06	43	16.41	-	50	55	35.9	19.50	 1.08	 219.4	 3.1	     	    	     	    	0.999	222.2	2.2	 0.43	0.14
Car-0064	25R 	3411.554	06	43	16.41	-	50	55	35.9	19.50	 1.08	 225.1	 3.1	 0.35	0.07	 0.43	0.14	     	     	   	     	
Car-0065	18B 	3087.533	06	43	15.96	-	50	55	04.1	18.28	 1.33	 103.4	 3.0	 0.38	0.04	 0.88	0.06	0.000	104.1	2.3	 0.85	0.05
Car-0065	25R 	3411.554	06	43	15.96	-	50	55	04.1	18.28	 1.33	 105.0	 3.4	 0.31	0.03	 0.77	0.09	     	     	   	     	
Car-0066	18B 	3087.533	06	43	05.61	-	51	02	38.6	19.93	 0.95	 107.5	 1.1	 0.33	0.05	 0.74	0.08	0.000	     	   	     	
Car-0067	18B 	3087.533	06	43	13.33	-	51	01	07.9	20.18	 1.10	  53.7	 2.7	 0.50	0.06	 0.79	0.11	0.000	     	   	     	
Car-0068	18R 	3087.533	06	42	23.40	-	50	53	23.5	19.31	 1.05	  19.2	 3.2	 0.29	0.05	 0.91	0.10	0.000	     	   	     	
Car-0069	18R 	3087.533	06	42	17.14	-	50	59	28.7	18.49	 1.15	  23.3	 1.8	 0.41	0.04	 0.85	0.10	0.000	 27.4	1.1	 0.87	0.06
Car-0069	1R  	3088.572	06	42	17.14	-	50	59	28.7	18.49	 1.15	  28.7	 3.0	 0.32	0.03	 0.93	0.10	     	     	   	     	
Car-0069	13R 	3410.547	06	42	17.14	-	50	59	28.7	18.49	 1.15	  30.8	 1.9	 0.36	0.03	 0.84	0.09	     	     	   	     	
Car-0069	1R  	4122.701	06	42	17.14	-	50	59	28.7	18.49	 1.15	  28.2	 2.1	     	    	     	    	     	     	   	     	
Car-0070	18R 	3087.533	06	42	17.79	-	50	56	55.6	18.74	 1.18	 222.4	 3.5	 0.34	0.04	 0.55	0.09	1.000	221.8	1.7	 0.48	0.08
Car-0070	25R 	3411.554	06	42	17.79	-	50	56	55.6	18.74	 1.18	 220.0	 6.2	 0.34	0.06	 0.34	0.13	     	     	   	     	
Car-0070	1R  	4123.555	06	42	17.79	-	50	56	55.6	18.74	 1.18	 221.8	 2.1	     	    	     	    	     	     	   	     	
Car-0071	18R 	3087.533	06	42	20.56	-	50	55	59.5	19.75	 1.08	 214.5	 7.9	 0.36	0.06	 0.39	0.13	1.000	     	   	     	
Car-0072	18R 	3087.533	06	42	17.43	-	50	55	55.2	17.84	 1.39	 220.6	 1.6	 0.46	0.02	 0.54	0.08	0.999	221.2	1.1	 0.54	0.08
Car-0072	1R  	4122.701	06	42	17.43	-	50	55	55.2	17.84	 1.39	 221.7	 1.4	     	    	     	    	     	     	   	     	
Car-0073	18R 	3087.533	06	42	09.37	-	50	55	09.8	20.47	 0.91	 -76.7	 9.2	-0.11	0.27	 0.46	0.17	0.000	     	   	     	
Car-0074	18R 	3087.533	06	42	37.99	-	50	53	37.9	18.74	 1.15	 233.3	 7.2	 0.29	0.05	 0.54	0.10	0.998	     	   	     	
Car-0075	18R 	3087.533	06	42	40.76	-	50	52	49.9	18.95	 1.02	  49.6	 8.1	 0.47	0.05	 0.90	0.10	0.000	     	   	     	
Car-0076	18R 	3087.533	06	42	38.53	-	50	56	00.7	18.52	 1.21	 223.4	 3.5	 0.42	0.03	 0.38	0.09	1.000	     	   	     	
Car-0077	18R 	3087.533	06	42	44.28	-	50	55	27.7	18.47	 1.18	   6.8	 2.5	 0.31	0.04	 0.78	0.10	0.000	     	   	     	
Car-0078	18R 	3087.533	06	42	30.38	-	50	56	33.1	18.82	 1.22	 230.5	 2.4	 0.43	0.04	 0.53	0.10	1.000	229.5	1.9	 0.51	0.07
Car-0078	25R 	3411.554	06	42	30.38	-	50	56	33.1	18.82	 1.22	 230.4	 3.7	 0.36	0.06	 0.38	0.12	     	     	   	     	
Car-0078	1R  	4120.709	06	42	30.38	-	50	56	33.1	18.82	 1.22	 222.5	 6.3	     	    	     	    	     	     	   	     	
Car-0078	1R  	4557.518	06	42	30.38	-	50	56	33.1	18.82	 1.22	 223.5	 8.7	 0.43	0.09	 0.64	0.15	     	     	   	     	
Car-0079	18R 	3087.533	06	42	55.80	-	50	48	51.6	18.31	 1.38	  60.7	 5.3	 0.35	0.04	 0.79	0.10	0.000	     	   	     	
Car-0080	18R 	3087.533	06	43	00.64	-	50	50	06.2	19.44	 1.12	 106.6	 6.4	 0.36	0.08	 0.69	0.12	0.000	     	   	     	
Car-0081	18R 	3087.533	06	42	59.04	-	50	51	36.0	18.68	 1.19	  82.8	 5.5	 0.38	0.05	 0.86	0.10	0.000	 81.5	1.6	 0.85	0.07
Car-0081	25R 	3411.554	06	42	59.04	-	50	51	36.0	18.68	 1.19	  81.4	 1.6	 0.41	0.04	 0.83	0.10	     	     	   	     	
Car-0082	18R 	3087.533	06	43	20.65	-	50	52	30.8	18.53	 1.32	 157.6	 4.1	 0.29	0.04	 0.84	0.10	0.000	156.5	3.2	 0.83	0.07
Car-0082	25R 	3411.554	06	43	20.65	-	50	52	30.8	18.53	 1.32	 154.9	 5.2	 0.31	0.05	 0.82	0.10	     	     	   	     	
Car-0083	1B  	3088.572	06	42	10.52	-	50	54	16.0	20.66	 0.96	  74.4	 5.9	 0.17	0.09	 0.58	0.12	0.000	 83.8	2.6	 0.76	0.08
Car-0083	25B 	3411.554	06	42	10.52	-	50	54	16.0	20.66	 0.96	  86.2	 2.9	 0.31	0.07	 0.89	0.10	     	     	   	     	
Car-0084	1B  	3088.572	06	40	54.18	-	50	53	59.2	19.89	 1.06	 218.9	 2.5	 0.42	0.03	 0.69	0.06	0.815	     	   	     	
Car-0085	1B  	3088.572	06	40	52.20	-	50	55	03.7	20.56	 0.82	 225.9	 5.0	 0.53	0.08	 0.52	0.20	0.998	231.8	3.7	 0.52	0.20
Car-0085	1B  	4122.587	06	40	52.20	-	50	55	03.7	20.56	 0.82	 238.5	 5.4	     	    	     	    	     	     	   	     	
Car-0086	1B  	3088.572	06	40	53.32	-	50	55	17.6	19.94	 0.93	 214.1	 2.0	 0.52	0.04	 0.48	0.09	1.000	214.4	2.0	 0.48	0.08
Car-0086	1R  	4554.518	06	40	53.32	-	50	55	17.6	19.94	 0.93	 220.5	 9.8	 0.39	0.10	 0.49	0.19	     	     	   	     	
Car-0087	1B  	3088.572	06	40	52.83	-	50	55	42.0	19.64	 1.07	 224.9	 2.2	 0.57	0.05	 0.70	0.12	1.000	228.0	0.9	 0.52	0.06
Car-0087	12B 	3090.551	06	40	52.83	-	50	55	42.0	19.64	 1.07	 228.6	 1.0	 0.41	0.03	 0.49	0.07	     	     	   	     	
Car-0087	1R  	4120.709	06	40	52.83	-	50	55	42.0	19.64	 1.07	 229.9	 8.6	     	    	     	    	     	     	   	     	
Car-0087	1R  	4557.518	06	40	52.83	-	50	55	42.0	19.64	 1.07	 225.8	11.9	 0.29	0.15	 0.29	0.26	     	     	   	     	
Car-0088	1B  	3088.572	06	40	51.76	-	50	56	13.6	19.06	 1.06	 210.7	 0.7	 0.43	0.01	 0.59	0.03	0.987	211.2	0.6	 0.56	0.03
Car-0088	12B 	3090.551	06	40	51.76	-	50	56	13.6	19.06	 1.06	 211.9	 1.2	 0.41	0.03	 0.46	0.06	     	     	   	     	
Car-0088	1R  	4122.701	06	40	51.76	-	50	56	13.6	19.06	 1.06	 222.4	 5.4	     	    	     	    	     	     	   	     	
Car-0089	1B  	3088.572	06	40	48.63	-	50	56	16.9	20.04	 0.98	 225.2	 3.4	     	    	 0.68	4.26	0.998	221.6	1.3	 0.68	4.26
Car-0089	1B  	4122.701	06	40	48.63	-	50	56	16.9	20.04	 0.98	 221.1	 1.4	     	    	     	    	     	     	   	     	
Car-0090	1B  	3088.572	06	41	00.18	-	50	54	09.7	19.30	 1.12	 220.8	 1.8	     	    	 1.02	0.57	0.999	220.9	1.7	 0.58	0.25
Car-0090	1R  	4554.518	06	41	00.18	-	50	54	09.7	19.30	 1.12	 221.9	 6.5	 0.32	0.18	 0.47	0.28	     	     	   	     	
Car-0091	1B  	3088.572	06	41	00.36	-	50	55	07.2	19.64	 1.05	 218.8	 1.1	 0.68	0.02	 0.48	0.09	1.000	     	   	     	
Car-0092	1B  	3088.572	06	41	02.71	-	50	55	24.8	20.30	 0.76	 222.1	 4.5	     	    	     	    	1.000	219.8	2.9	 0.15	0.07
Car-0092	1B  	4557.518	06	41	02.71	-	50	55	24.8	20.30	 0.76	 218.2	 3.7	 0.25	0.03	 0.15	0.07	     	     	   	     	
Car-0093	1B  	3088.572	06	41	02.20	-	50	56	03.7	20.27	 0.97	 228.3	 2.2	     	    	     	    	1.000	229.4	1.8	 0.23	0.08
Car-0093	1B  	4557.518	06	41	02.20	-	50	56	03.7	20.27	 0.97	 231.3	 2.9	 0.15	0.03	 0.23	0.08	     	     	   	     	
