#Table: J/AJ/137/3100/table5.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Sex-0033|1R  |3089.738|10 13 10.03 -01 33 30.8|19.17| 0.64| 261.2|10.5| 0.36|0.05| 0.39|0.11|     |     |   |     |
Sex-0033|1R  |3411.775|10 13 10.03 -01 33 30.8|19.17| 0.64| 268.9| 7.5| 0.34|0.04| 0.35|0.11|     |     |   |     |
Sex-0033|1B  |4122.822|10 13 10.03 -01 33 30.8|19.17| 0.64| 270.6| 2.2|     |    |     |    |     |     |   |     |
Sex-0034|14B |3088.704|10 13 07.94 -01 32 09.0|     |     |  40.1| 2.9| 0.36|0.03| 0.85|0.04|0.000| 43.5|1.7| 0.85|0.04
Sex-0034|57R |3410.758|10 13 07.94 -01 32 09.0|     |     |  46.8| 2.7| 0.30|0.05| 0.87|0.10|     |     |   |     |
Sex-0034|1R  |3411.775|10 13 07.94 -01 32 09.0|     |     |  43.2| 3.2| 0.39|0.03| 0.81|0.09|     |     |   |     |
Sex-0035|14B |3088.704|10 13 10.53 -01 31 15.4|17.71| 1.30| 228.4| 0.7| 0.45|0.01| 0.49|0.03|0.995|228.6|0.5| 0.46|0.02
Sex-0035|1R  |3089.738|10 13 10.53 -01 31 15.4|17.71| 1.30| 228.4| 1.4| 0.40|0.01| 0.32|0.08|     |     |   |     |
Sex-0035|57R |3410.758|10 13 10.53 -01 31 15.4|17.71| 1.30| 231.0| 1.6| 0.39|0.02| 0.40|0.08|     |     |   |     |
Sex-0035|1R  |3411.775|10 13 10.53 -01 31 15.4|17.71| 1.30| 229.9| 1.2| 0.40|0.02| 0.40|0.08|     |     |   |     |
Sex-0035|1R  |4122.822|10 13 10.53 -01 31 15.4|17.71| 1.30| 226.7| 1.3|     |    |     |    |     |     |   |     |
Sex-0035|6R  |4124.814|10 13 10.53 -01 31 15.4|17.71| 1.30| 224.7| 4.8|     |    |     |    |     |     |   |     |
Sex-0036|14B |3088.704|10 13 05.77 -01 30 43.2|19.54| 0.66| 178.1| 2.2| 0.33|0.05| 0.61|0.08|0.000|183.6|0.9| 0.50|0.05
Sex-0036|57B |3410.758|10 13 05.77 -01 30 43.2|19.54| 0.66| 185.2| 2.2| 0.30|0.04| 0.45|0.08|     |     |   |     |
Sex-0036|6B  |3804.673|10 13 05.77 -01 30 43.2|19.54| 0.66| 188.4| 5.9| 0.29|0.08| 0.29|0.18|     |     |   |     |
Sex-0036|1B  |4122.822|10 13 05.77 -01 30 43.2|19.54| 0.66| 185.1| 1.2|     |    |     |    |     |     |   |     |
Sex-0036|6B  |4124.814|10 13 05.77 -01 30 43.2|19.54| 0.66| 181.2| 2.4|     |    |     |    |     |     |   |     |
Sex-0037|14B |3088.704|10 13 00.66 -01 30 35.6|20.15| 0.98| 227.3| 5.3| 0.40|0.11| 0.61|0.17|0.996|215.2|1.6| 0.45|0.07
Sex-0037|57B |3410.758|10 13 00.66 -01 30 35.6|20.15| 0.98| 220.1| 4.4| 0.28|0.07| 0.25|0.16|     |     |   |     |
Sex-0037|1B  |3411.775|10 13 00.66 -01 30 35.6|20.15| 0.98| 216.2| 2.6| 0.31|0.05| 0.46|0.09|     |     |   |     |
Sex-0037|6B  |4124.814|10 13 00.66 -01 30 35.6|20.15| 0.98| 209.7| 2.6|     |    |     |    |     |     |   |     |
Sex-0038|14B |3088.704|10 13 03.50 -01 26 02.3|20.19| 0.60|  38.7| 5.0| 0.34|0.07| 0.10|0.19|0.000|     |   |     |
Sex-0039|14B |3088.704|10 13 05.93 -01 28 00.3|18.16| 1.17| 220.8| 1.2| 0.33|0.02| 0.42|0.04|0.999|223.9|0.5| 0.39|0.03
Sex-0039|1R  |3089.738|10 13 05.93 -01 28 00.3|18.16| 1.17| 218.6| 3.9| 0.43|0.02| 0.40|0.09|     |     |   |     |
Sex-0039|57R |3410.758|10 13 05.93 -01 28 00.3|18.16| 1.17| 225.4| 2.4| 0.36|0.03| 0.37|0.09|     |     |   |     |
Sex-0039|1R  |3411.775|10 13 05.93 -01 28 00.3|18.16| 1.17| 225.6| 1.4| 0.38|0.03| 0.30|0.09|     |     |   |     |
Sex-0039|6B  |3804.673|10 13 05.93 -01 28 00.3|18.16| 1.17| 222.5| 2.9| 0.32|0.03| 0.36|0.08|     |     |   |     |
Sex-0039|1B  |4122.822|10 13 05.93 -01 28 00.3|18.16| 1.17| 224.8| 0.7|     |    |     |    |     |     |   |     |
Sex-0039|6B  |4124.814|10 13 05.93 -01 28 00.3|18.16| 1.17| 223.4| 1.2|     |    |     |    |     |     |   |     |
Sex-0040|14B |3088.704|10 13 11.35 -01 23 04.5|17.99| 0.88|   1.4| 1.0| 0.42|0.03| 0.94|0.04|0.000|  3.8|0.4| 0.95|0.02
Sex-0040|57R |3410.758|10 13 11.35 -01 23 04.5|17.99| 0.88|   4.6| 1.6| 0.36|0.05| 0.85|0.10|     |     |   |     |
Sex-0040|23B |3418.704|10 13 11.35 -01 23 04.5|17.99| 0.88|   3.1| 0.6| 0.42|0.01| 0.95|0.02|     |     |   |     |
Sex-0040|6R  |3804.673|10 13 11.35 -01 23 04.5|17.99| 0.88|   3.2| 3.1| 0.35|0.04| 0.89|0.10|     |     |   |     |
Sex-0040|6R  |4124.814|10 13 11.35 -01 23 04.5|17.99| 0.88|  11.0| 1.2|     |    |     |    |     |     |   |     |
Sex-0041|14B |3088.704|10 13 17.15 -01 26 38.1|18.94| 1.02| 240.0| 2.1| 0.37|0.04| 0.20|0.13|0.994|241.4|0.5| 0.35|0.03
Sex-0041|57R |3410.758|10 13 17.15 -01 26 38.1|18.94| 1.02| 235.5| 7.9| 0.30|0.07| 0.28|0.15|     |     |   |     |
Sex-0041|1R  |3411.775|10 13 17.15 -01 26 38.1|18.94| 1.02| 243.6| 7.6| 0.39|0.05| 0.32|0.12|     |     |   |     |
Sex-0041|23B |3418.704|10 13 17.15 -01 26 38.1|18.94| 1.02| 240.2| 0.8| 0.34|0.02| 0.36|0.04|     |     |   |     |
Sex-0041|6B  |3804.673|10 13 17.15 -01 26 38.1|18.94| 1.02| 239.6| 2.0| 0.36|0.03| 0.38|0.08|     |     |   |     |
