#Table: J/AJ/137/3100/table3.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
For-0071|15B |3287.826|02 40 32.01 -34 41 52.5|20.52| 1.18|  50.0| 3.8| 0.30|0.07| 0.20|0.15|0.962|     |   |     |
For-0072|15B |3287.826|02 40 29.04 -34 41 21.7|19.16| 1.07|  50.0| 0.4| 0.51|0.02| 0.63|0.04|0.995|     |   |     |
For-0073|15B |3287.826|02 40 32.71 -34 30 17.8|19.41| 1.09|  60.5| 0.4| 0.51|0.03| 0.86|0.05|0.982|     |   |     |
For-0074|15B |3287.826|02 40 29.85 -34 30 44.2|19.22| 1.17|  53.7| 0.4| 0.51|0.03| 0.69|0.06|0.995|     |   |     |
For-0075|15B |3287.826|02 40 34.18 -34 30 46.1|19.07| 1.19|  63.5| 0.4| 0.51|0.02| 0.63|0.05|0.995|     |   |     |
For-0076|15B |3287.826|02 40 36.86 -34 31 49.1|19.36| 1.14|  63.1| 0.4| 0.51|0.02| 0.67|0.05|0.995|     |   |     |
For-0077|15B |3287.826|02 40 35.85 -34 32 31.4|19.26| 1.05|  54.6| 0.4| 0.47|0.02| 0.66|0.04|0.995|     |   |     |
For-0078|15B |3287.826|02 40 35.56 -34 34 46.4|19.38| 1.17|  58.4| 0.4| 0.50|0.03| 0.63|0.05|0.995|     |   |     |
For-0079|15B |3287.826|02 40 40.05 -34 30 45.7|19.19| 1.23|  40.1| 0.4| 0.51|0.03| 0.75|0.05|0.983|     |   |     |
For-0080|15B |3287.826|02 40 49.12 -34 32 36.4|19.19| 1.16|  60.6| 0.4| 0.48|0.02| 0.69|0.04|0.995| 60.3|0.4| 0.68|0.04
For-0080|33B |4026.689|02 40 49.12 -34 32 36.4|19.19| 1.16|  54.7| 1.8| 0.34|0.78| 0.47|0.18|     |     |   |     |
For-0081|15B |3287.826|02 40 43.35 -34 33 43.8|19.25| 1.20|  49.4| 0.7| 0.51|0.03| 0.62|0.06|0.995|     |   |     |
For-0082|15B |3287.826|02 40 54.01 -34 34 10.8|18.90| 1.11|  57.8| 0.4| 0.40|0.02| 0.46|0.04|0.993| 57.6|0.4| 0.50|0.03
For-0082|33B |4026.689|02 40 54.01 -34 34 10.8|18.90| 1.11|  53.2| 1.8| 0.45|0.09| 0.66|0.07|     |     |   |     |
For-0083|15B |3287.826|02 40 47.26 -34 34 17.9|18.97| 1.19|  67.2| 0.4| 0.46|0.02| 0.55|0.04|0.993|     |   |     |
For-0084|15B |3287.826|02 40 58.61 -34 34 37.5|19.07| 1.22|  63.5| 0.4| 0.51|0.02| 0.61|0.04|0.994| 63.5|0.4| 0.61|0.04
For-0084|33B |4026.689|02 40 58.61 -34 34 37.5|19.07| 1.22|  63.6| 2.2|     |    | 0.68|0.13|     |     |   |     |
